Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Jan-10,339,352.8,304,317.3,5609081,68216,1899201876,2343641,41.78,48.8,-21.7
Feb-10,317,329.8,302.5,315.3,2721731,44954,857423052,1085745,39.89,27.3,-1.7
Mar-10,318.05,354.5,311.35,337.1,4115718,56306,1365994886,1666662,40.5,43.15,19.05
Apr-10,338.65,352,322.5,342.55,4352674,49794,1461103003,2157973,49.58,29.5,3.9
May-10,345,353,307,318.95,6847090,88459,2223041478,3218938,47.01,46,-26.05
Jun-10,318.4,352,317.25,337.75,4536422,61807,1514600781,2175828,47.96,34.75,19.35
Jul-10,336.9,342.95,324,326.6,2506796,38202,832628366,1301379,51.91,18.95,-10.3
Aug-10,327,329,300.1,303.35,6551619,80091,2040627756,3520404,53.73,28.9,-23.65
Sep-10,305,324.85,303,321.65,5294915,70518,1656978427,2560622,48.36,21.85,16.65
Oct-10,324,359.65,323.05,352.25,5987275,74753,2036897420,2475904,41.35,36.6,28.25
Nov-10,355,363.5,325.5,343.7,6404176,80152,2206937617,3125597,48.81,38,-11.3
Dec-10,344,380,337.2,369.9,7413310,96989,2691390116,2996991,40.43,42.8,25.9
Jan-11,370,380.8,325,332.25,3456288,55851,1219719675,1263268,36.55,55.8,-37.75
Feb-11,332,334,296.45,299.7,4827907,62232,1499466610,2861272,59.27,37.55,-32.3
Mar-11,300,332,286.1,321.05,5431128,72194,1648716616,2809118,51.72,45.9,21.05
Apr-11,323,326,305,308.85,2008138,33282,638758997,941595,46.89,21,-14.15
May-11,311.3,334,295.15,326.1,3131451,44334,975043527,1705455,54.46,38.85,14.8
Jun-11,326.1,341.5,310.05,330.35,2874171,48995,952879897,1381065,48.05,31.45,4.25
Jul-11,330,337.95,305.1,307.85,1813764,32254,579569123,853076,47.03,32.85,-22.15
Aug-11,312,315,274.1,280,2266020,49622,661760249,684044,30.19,40.9,-32
Sep-11,285,299.1,273.6,282.7,2619325,52050,744933899,760924,29.05,25.5,-2.3
Oct-11,280.75,299.95,276.1,294.55,1733876,34261,497309141,754974,43.54,23.85,13.8
Nov-11,293.2,329.5,284,327.95,4043059,67814,1260188625,1849662,45.75,45.5,34.75
Dec-11,331,340,315,319.55,3152893,51736,1037754552,1574636,49.94,25,-11.45
Jan-12,320.25,351.9,315.1,349.15,3126120,45605,1058067640,1788153,57.2,36.8,28.9
Feb-12,351,359,311,316.8,3141318,61240,1040761207,1424627,45.35,48,-34.2
Mar-12,318,320,286.5,304.55,6751110,46886,2024928524,5602902,82.99,33.5,-13.45
Apr-12,305,324.6,302.2,311.85,3667369,30259,1154799917,2813246,76.71,22.4,6.85
May-12,312.4,331,304.3,309.65,2532991,53743,812553555,980229,38.7,26.7,-2.75
Jun-12,310.1,317.15,300.7,316.4,1300506,31869,401398365,473763,36.43,16.45,6.3
Jul-12,316,341.9,313.35,338.55,3057820,40746,1003590242,1887144,61.72,28.55,22.55
Aug-12,360,383,344.75,378.15,5874881,75414,2127272462,3317484,56.47,38.25,18.15
Sep-12,378,395.45,352.8,380.6,4901865,77591,1829685362,2128601,43.42,42.65,2.6
Oct-12,379.4,386.85,353.1,363.5,3204461,60112,1178370335,1379318,43.04,33.75,-15.9
Nov-12,365.9,415.9,363.6,414,6032591,91606,2357377238,2970174,49.24,52.3,48.1
Dec-12,415.05,430,402.7,414.1,2991040,52036,1248318646,1492199,49.89,27.3,-0.95
Jan-13,415.05,435,385.2,407.2,4615981,73732,1928361352,2342255,50.74,49.8,-7.85
Feb-13,407,417.45,357,360.75,3917874,79246,1517452361,1468187,37.47,60.45,-46.25
Mar-13,362,395.9,354.4,379.75,2365399,45011,907114024,910747,38.5,41.5,17.75
Apr-13,380.55,413.55,379.55,405.95,1845131,40122,735647558,573073,31.06,34,25.4
