Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
January-2000,120.95,161.45,116.70,117.50,19335969,63068,2641340149.00,44.75,,,-3.45,@
February-2000,117.00,285.00,116.50,250.25,39383348,132583,8276691282.00,168.50,,,133.25,@
March-2000,246.25,304.90,146.30,167.10,58341145,201706,12651267708.00,158.60,,,-79.15,@
April-2000,171.00,175.00,104.10,111.15,25729404,108104,3450377656.00,70.90,,,-59.85,@
May-2000,114.90,119.25,68.10,119.00,31028366,127975,2969121912.00,51.15,,,4.10,@
June-2000,119.50,141.95,107.00,112.70,32119316,142443,4051630048.00,34.95,,,-6.80,@
July-2000,116.00,128.70,84.60,99.35,21206308,96187,2390577198.00,44.10,,,-16.65,@
August-2000,99.90,110.90,82.55,107.05,19994190,87620,1983264883.00,28.35,,,7.15,@
September-2000,109.90,124.90,87.50,91.95,24216775,106036,2649088267.00,37.40,,,-17.95,@
October-2000,89.00,94.75,74.00,78.90,13325042,60953,1106180338.00,20.75,,,-10.10,@
November-2000,89.10,89.10,89.10,89.10,50,1,4455.00,0.00,,,0.00,
November-2000,79.25,97.60,79.20,93.65,31274150,124013,2820557410.00,18.40,,,14.40,@
December-2000,93.25,104.50,82.20,87.15,30551524,113508,2941156996.00,22.30,,,-6.10,@
January-2001,87.95,101.40,87.80,94.20,33247606,123009,3127665687.00,13.60,,,6.25,@
February-2001,93.60,116.35,85.50,91.15,56219169,190943,5854614407.00,30.85,,,-2.45,@
March-2001,91.95,97.50,56.00,62.05,26588436,122346,2003913201.00,41.50,,,-29.90,@
April-2001,63.50,69.50,51.30,61.25,14313574,74039,869388677.00,18.20,,,-2.25,@
May-2001,63.00,63.00,63.00,63.00,500,1,31500.00,0.00,,,0.00,
May-2001,61.75,69.50,57.00,65.35,17662098,77155,1127188002.00,12.50,,,3.60,@
