Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2004,1076,1338,958.55,1335.5,47397004,1162694,51266914295,12109331,25.55,379.45,259.5,
2005,1349.8,1750.85,1091,1702.45,63160750,1422277,84809899203,20531913,32.51,659.85,352.65,
2006,1707,2099,900,1218.6,57116956,1640999,79851718555,29973413,52.48,1199,-488.4,
2007,1250,1399,935,1083.35,79522052,1747807,92570784422,50158624,63.08,464,-166.65,
2008,1065.1,1078,418,478.1,75871717,2106962,56944484110,28717825,37.85,660,-587,
2009,485,805,355.25,749.75,108462189,2084765,60476861965,39724991,36.63,449.75,264.75,
2010,750.7,1179,692,1165.05,62694021,1396016,53121079184,26982541,43.04,487,414.35,
2011,1165,1247,902.9,1161.25,50122536,1903284,55627676107,16354716,32.63,344.1,-3.75,
2012,1155.15,1438,1046.55,1258.55,35695684,1362552,43607787115,14942552,41.86,391.45,103.4,
2013,1268,2258.05,1255,2170.95,31269625,1672640,52925555188,12284320,39.29,1003.05,902.95,
2014,2180,2834,2000.5,2554.7,23589135,2149541,54854681400,9657691,40.94,833.5,374.7,
2015,2554.35,2810,2316.65,2433.35,19807559,1589117,50096845044,9375982,47.34,493.35,-121,
2016,2432.1,2740,2054.7,2361.95,22454635,1091505,53619879421,12977264,57.79,685.3,-70.15,
2017,2365,2774,2154.3,2700.4,20975708,846470,51317289605,11384382,54.27,619.7,335.4,
2018,2689.8,3674,1712.9,2078.2,31859005,1042613,79924019721,15541703,48.78,1961.1,-611.6,
