Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Jan-00,147.9,183.35,139.7,140,47269670,120901,7748796698,43.65,,,-7.9
Feb-00,150.15,150.15,150.15,150.15,50,1,7507,0,,,0
Feb-00,140.9,149.65,123.75,123.75,23505241,74882,3249879174,25.9,,,-17.15
Mar-00,122.8,126.9,89,115.9,23276960,75463,2482866157,37.9,,,-6.9
Apr-00,117,126.5,104.65,108.5,26051363,91319,3027931755,21.85,,,-8.5
May-00,111,125,98.4,121.7,27051593,94742,3085474827,26.6,,,10.7
May-00,122.75,122.75,122.75,122.75,183420,1,22514805,0,,,0
Jun-00,122,122,122,122,51600,1,6295200,0,,,0
Jun-00,121,142,117.1,118.2,37032967,115970,4785403014,24.9,,,-2.8
Jul-00,135,140,135,137,30100,7,4111200,5,,,2
Jul-00,122,145.8,112.55,119,48026071,154458,6378610729,33.25,,,-3
Aug-00,104,104,104,104,400000,1,41600000,0,,,0
Aug-00,119.1,121,104.2,108.6,21339021,79603,2366970444,16.8,,,-10.5
Sep-00,110,115.2,93.6,94.05,13253542,52104,1390701703,21.6,,,-15.95
Oct-00,93.6,105.2,85,96.95,16931271,64775,1619906682,20.2,,,3.35
Nov-00,106.75,106.75,106.75,106.75,25000,10,2668750,0,,,0
Nov-00,97.5,124.9,96.5,122.8,45154966,147389,5058341601,28.4,,,25.3
Dec-00,122,125.25,122,124.25,10050,12,1253600,3.25,,,2.25
Dec-00,122.5,133.3,119.55,130.1,41977851,130336,5314416927,13.75,,,7.6
Jan-01,129.75,129.75,129.75,129.75,100000,11,12975000,0,,,0
Jan-01,131.5,140.5,123.15,136.75,54325051,176746,7170349348,17.35,,,5.25
Feb-01,158.5,158.5,157.15,157.15,60000,20,9442500,1.35,,,-1.35
Feb-01,137.1,165,133,154.5,79057296,235470,12210893155,32,,,17.4
Mar-01,154.5,154.5,154.5,154.5,10000,10,1545000,0,,,0
Mar-01,155.5,168.9,108,122.35,34694742,134891,4938908793,60.9,,,-33.15
Apr-01,133.25,133.25,133.25,133.25,25000,10,3331250,0,,,0
Apr-01,122,149.45,112.75,134.8,21777545,112589,2845365707,36.7,,,12.8
May-01,134.5,138,129.25,129.25,185000,41,25039590,8.75,,,-5.25
May-01,135.8,147.5,120.55,141.6,33421843,142287,4665448657,26.95,,,5.8
Jun-01,137.75,137.75,121.15,121.15,179000,37,22797250,16.6,,,-16.6
